Paddle Name,Brand,Price,Discount Code,Link to Paddle,Year Released,Approval Body,Shape,Face Material,Grit Type,Build Type,Paddle Type,Core Thickness (mm),Grip Length (in),Grip Size (in),Weight (oz),Swingweight,Swingweight Percentile,Twistweight,Twistweight Percentile,Balance Point (mm),Spin Rating,Spin (RPM),Power (MPH),Power Percentile,Pop (MPH),Pop Percentile
Pursuit Pro1 6.0 Hybrid,Engage,$259.99,PBEFFECT,https://a8qh.short.gy/pro16.0h,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 1,Control,15,5.50,4.25,7.96,111,23%,6.22,40%,237,High,1961,54.1,14%,35.0,13%
Pursuit Pro1 6.0 Widebody,Engage,$259.99,PBEFFECT,https://a8qh.short.gy/pro16.0w,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1,Control,15,5.00,4.25,8.06,113,35%,7.60,99%,240,High,1980,54.8,23%,35.0,13%
Pursuit Pro1 Hybrid,Engage,$259.99,PBEFFECT,https://a8qh.short.gy/pro1h,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,13,5.50,4.25,7.96,101,1%,5.50,5%,220,Very High,2026,53.4,9%,36.0,44%
Pursuit Pro1 Innovation 12.7,Engage,$279.99,PBEFFECT,https://a8qh.short.gy/EI12.7,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Power,13,5.60,4.25,7.90,120,82%,5.90,19%,244,Very High,2059,56.1,65%,36.6,75%
Pursuit Pro1 Innovation 15.2,Engage,$279.99,PBEFFECT,https://a8qh.short.gy/EI15.2,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Power,15,5.60,4.25,7.92,125,96%,6.31,48%,252,Very High,2020,55.8,52%,36.0,44%
Pursuit Pro1 Widebody,Engage,$259.99,PBEFFECT,https://a8qh.short.gy/pro1w,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1,Control,13,5.00,4.25,8.10,105,4%,6.64,69%,224,Very High,2019,53.2,7%,35.5,25%
Pursuit V2,Engage,$179.99,PBEFFECT,https://a8qh.short.gy/PV2,2024,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,15,5.30,4.25,7.85,111,23%,5.94,22%,235,Very High,2119,55.2,32%,36.3,61%
Duo,Enhance,$174.99,PBEFFECT,https://a8qh.short.gy/duo-e,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.50,4.25,8.10,119,77%,6.30,46%,243,Very High,2063,56.9,92%,36.7,83%
Gen 4.5,Enhance,$175.00,PBEFFECT,https://a8qh.short.gy/4.5,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.50,4.10,8.20,122,88%,6.20,39%,241,Very High,2036,56.3,72%,36.3,61%
Runout E,F+B,$199.99,PBEFFECT,https://a8qh.short.gy/ROE,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1.5,All-Court,13,5.50,4.10,8.00,114,43%,5.76,12%,239,Very High,2001,56.0,61%,35.9,39%
Runout H,F+B,$199.99,PBEFFECT,https://a8qh.short.gy/ROH,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 1.5,All-Court,13,5.50,4.10,8.10,113,35%,6.25,42%,237,Very High,2010,55.7,46%,36.0,44%
